race_ethnicity,year,people,total,percent,degree
White ,2006,397519,599731,66.3,Masters
White ,2007,403623,610597,66.1,Masters
White ,2008,413348,630666,65.5,Masters
White ,2009,427713,662082,64.6,Masters
White ,2010,445158,693313,64.2,Masters
White ,2011,462922,730922,63.3,Masters
White ,2012,470822,755967,62.3,Masters
White ,2013,455896,751718,60.6,Masters
White ,2014,444771,754582,58.9,Masters
White ,2015,433096,758804,57.1,Masters
White ,2016,431885,785757,55,Masters
White ,2017,433638,804542,53.9,Masters
White ,2018,439124,820242,53.5,Masters
White ,2019,447425,833706,53.7,Masters
Black ,2006,59822,599731,10,Masters
Black ,2007,63439,610597,10.4,Masters
Black ,2008,65912,630666,10.5,Masters
Black ,2009,70772,662082,10.7,Masters
Black ,2010,76472,693313,11,Masters
Black ,2011,80742,730922,11,Masters
Black ,2012,86007,755967,11.4,Masters
Black ,2013,87989,751718,11.7,Masters
Black ,2014,88606,754582,11.7,Masters
Black ,2015,87288,758804,11.5,Masters
Black ,2016,88786,785757,11.3,Masters
Black ,2017,89577,804542,11.1,Masters
Black ,2018,91282,820242,11.1,Masters
Black ,2019,93126,833706,11.2,Masters
Hispanic ,2006,32578,599731,5.4,Masters
Hispanic ,2007,34962,610597,5.7,Masters
Hispanic ,2008,36899,630666,5.9,Masters
Hispanic ,2009,39567,662082,6,Masters
Hispanic ,2010,43603,693313,6.3,Masters
Hispanic ,2011,46823,730922,6.4,Masters
Hispanic ,2012,50994,755967,6.7,Masters
Hispanic ,2013,52991,751718,7,Masters
Hispanic ,2014,55962,754582,7.4,Masters
Hispanic ,2015,58752,758804,7.7,Masters
Hispanic ,2016,63060,785757,8,Masters
Hispanic ,2017,67026,804542,8.3,Masters
Hispanic ,2018,72443,820242,8.8,Masters
Hispanic ,2019,78874,833706,9.5,Masters
Asian or Pacific Islander ,2006,34302,599731,5.7,Masters
Asian or Pacific Islander ,2007,36420,610597,6,Masters
Asian or Pacific Islander ,2008,37743,630666,6,Masters
Asian or Pacific Islander ,2009,40510,662082,6.1,Masters
Asian or Pacific Islander ,2010,42520,693313,6.1,Masters
Asian or Pacific Islander ,2011,43482,730922,5.9,Masters
Asian or Pacific Islander ,2012,45379,755967,6,Masters
Asian or Pacific Islander ,2013,44906,751718,6,Masters
Asian or Pacific Islander ,2014,44533,754582,5.9,Masters
Asian or Pacific Islander ,2015,44489,758804,5.9,Masters
Asian or Pacific Islander ,2016,45921,785757,5.8,Masters
Asian or Pacific Islander ,2017,47810,804542,5.9,Masters
Asian or Pacific Islander ,2018,50116,820242,6.1,Masters
Asian or Pacific Islander ,2019,52222,833706,6.3,Masters
American Indian or Alaska Native ,2006,3519,599731,0.6,Masters
American Indian or Alaska Native ,2007,3590,610597,0.6,Masters
American Indian or Alaska Native ,2008,3775,630666,0.6,Masters
American Indian or Alaska Native ,2009,3777,662082,0.6,Masters
American Indian or Alaska Native ,2010,3965,693313,0.6,Masters
American Indian or Alaska Native ,2011,3946,730922,0.5,Masters
American Indian or Alaska Native ,2012,3681,755967,0.5,Masters
American Indian or Alaska Native ,2013,3693,751718,0.5,Masters
American Indian or Alaska Native ,2014,3512,754582,0.5,Masters
American Indian or Alaska Native ,2015,3410,758804,0.4,Masters
American Indian or Alaska Native ,2016,3538,785757,0.5,Masters
American Indian or Alaska Native ,2017,3397,804542,0.4,Masters
American Indian or Alaska Native ,2018,3318,820242,0.4,Masters
American Indian or Alaska Native ,2019,3453,833706,0.4,Masters
Two or more races ,2006,NA,599731,NA,Masters
Two or more races ,2007,NA,610597,NA,Masters
Two or more races ,2008,NA,630666,NA,Masters
Two or more races ,2009,NA,662082,NA,Masters
Two or more races ,2010,NA,693313,NA,Masters
Two or more races ,2011,6597,730922,0.9,Masters
Two or more races ,2012,9823,755967,1.3,Masters
Two or more races ,2013,11794,751718,1.6,Masters
Two or more races ,2014,13417,754582,1.8,Masters
Two or more races ,2015,14628,758804,1.9,Masters
Two or more races ,2016,16589,785757,2.1,Masters
Two or more races ,2017,17674,804542,2.2,Masters
Two or more races ,2018,18900,820242,2.3,Masters
Two or more races ,2019,20516,833706,2.5,Masters
Non-resident of the US ,2006,72122,599731,12,Masters
Non-resident of the US ,2007,68669,610597,11.2,Masters
Non-resident of the US ,2008,73167,630666,11.6,Masters
Non-resident of the US ,2009,79743,662082,12,Masters
Non-resident of the US ,2010,81595,693313,11.8,Masters
Non-resident of the US ,2011,86410,730922,11.8,Masters
Non-resident of the US ,2012,89261,755967,11.8,Masters
Non-resident of the US ,2013,94449,751718,12.6,Masters
Non-resident of the US ,2014,103781,754582,13.8,Masters
Non-resident of the US ,2015,117141,758804,15.4,Masters
Non-resident of the US ,2016,135978,785757,17.3,Masters
Non-resident of the US ,2017,145420,804542,18.1,Masters
Non-resident of the US ,2018,145059,820242,17.7,Masters
Non-resident of the US ,2019,138090,833706,16.6,Masters
